Player,Season,Team,Game Score,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Starter,Number,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Draft Round,Draft Pick in Round,Draft Overall Pick,Total Losses,Total Wins,Wfirst5,Lfirst5,Wfirst10,Lfirst10,Wfirst15,Lfirst15,Avg_Total_Passes
A.J. Lawson,2022-23,DAL,2.48,3.86,0.14,1.43,0.14,0.0,0.21,0.71,7.6,1.5,3.07,0.33,0.71,1.79,0.32,0.14,0.57,0.09,0.43,1.0,-2.93,0.0,00,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,https://www.basketball-reference.com/players/l/lawsoaj01/gamelog/2023,0.0,0.0,0.0,10.0,4.0,2,3,3,7,4,10,0.78
A.J. Lawson,2022-23,MIN,1.6,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.77,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,00,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,https://www.basketball-reference.com/players/l/lawsoaj01/gamelog/2023,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,1.0
A.J. Price,2014-15,CLE,1.44,2.0,1.18,1.36,0.27,0.0,0.27,0.09,7.88,0.82,3.09,0.14,0.0,1.0,0.0,0.36,0.55,0.14,0.36,1.0,-4.0,0.0,21,PG,6-2,181,"October 7, 1986",us,5,UConn,https://www.basketball-reference.com/players/p/priceaj01/gamelog/2015,2.0,22.0,52.0,7.0,4.0,3,2,4,6,4,7,0.0
A.J. Price,2014-15,IND,7.02,10.5,2.7,1.4,0.4,0.0,1.0,0.9,19.3,3.9,8.9,0.42,1.5,3.9,0.37,1.2,1.8,0.31,0.2,1.2,0.3,0.0,21,PG,6-2,181,"October 7, 1986",us,5,UConn,https://www.basketball-reference.com/players/p/priceaj01/gamelog/2015,2.0,22.0,52.0,5.0,5.0,2,3,5,5,5,5,0.0
A.J. Price,2014-15,PHO,-0.1,1.2,1.2,0.6,0.0,0.0,0.2,1.0,8.75,0.6,2.8,0.17,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.6,-4.6,0.0,21,PG,6-2,181,"October 7, 1986",us,5,UConn,https://www.basketball-reference.com/players/p/priceaj01/gamelog/2015,2.0,22.0,52.0,3.0,2.0,2,3,2,3,2,3,0.0
Aaron Brooks,2012-13,HOU,0.69,1.43,0.86,0.29,0.14,0.43,0.57,0.71,5.41,0.57,1.86,0.23,0.29,1.0,0.21,0.0,0.0,0.0,0.14,0.14,-1.14,0.0,3,PG,6-0,161,"January 14, 1985",us,4,Oregon,https://www.basketball-reference.com/players/b/brookaa01/gamelog/2013,1.0,26.0,26.0,2.0,5.0,4,1,5,2,5,2,0.0
Aaron Brooks,2012-13,SAC,5.3,7.96,2.35,1.7,0.63,0.15,1.37,1.93,20.85,3.02,6.59,0.42,1.04,2.76,0.32,0.87,1.13,0.36,0.26,1.43,-4.22,43.48,3,PG,6-0,161,"January 14, 1985",us,4,Oregon,https://www.basketball-reference.com/players/b/brookaa01/gamelog/2013,1.0,26.0,26.0,31.0,15.0,2,3,2,8,4,11,0.0
Aaron Brooks,2013-14,DEN,8.53,11.93,5.17,2.69,0.93,0.24,2.28,2.41,29.0,4.45,10.97,0.4,1.45,4.0,0.31,1.59,1.76,0.5,0.69,2.0,-2.79,41.38,0,PG,6-0,161,"January 14, 1985",us,5,Oregon,https://www.basketball-reference.com/players/b/brookaa01/gamelog/2014,1.0,26.0,26.0,18.0,11.0,0,5,2,8,6,9,2.97
Aaron Brooks,2013-14,HOU,4.36,6.95,1.93,1.44,0.58,0.14,1.19,1.77,16.66,2.42,6.12,0.29,1.26,3.07,0.25,0.86,1.02,0.35,0.53,0.91,-0.33,0.0,0,PG,6-0,161,"January 14, 1985",us,5,Oregon,https://www.basketball-reference.com/players/b/brookaa01/gamelog/2014,1.0,26.0,26.0,12.0,31.0,4,1,8,2,13,2,1.72
Aaron Gordon,2020-21,DEN,8.66,10.16,2.24,4.72,0.68,0.56,1.2,1.6,25.93,4.12,8.24,0.48,0.68,2.56,0.24,1.24,1.76,0.49,1.52,3.2,3.8,100.0,50,PF,6-8,235,"September 16, 1995",us,6,Arizona,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2021,1.0,4.0,4.0,6.0,19.0,5,0,8,2,12,3,1.63
