Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,2.2,1,4,1,1,0,0,0,1,11:02,1,4,.250,0,3,.000,2,2,1.000,0,1,-8,NYK,A,2023-10-25,25-270,BOS,W (+4),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,2.6,2,3,1,0,0,0,0,2,12:58,1,1,1.000,1,1,1.000,0,0,,0,0,+8,MIA,H,2023-10-27,25-272,BOS,W (+8),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,-3.1,3,0,6,7,1,0,4,3,25:03,0,8,.000,0,6,.000,0,0,,1,6,-2,WAS,A,2023-10-30,25-275,BOS,W (+19),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,17.5,4,15,9,4,0,0,0,2,26:15,6,10,.600,2,3,.667,1,1,1.000,1,3,+32,IND,H,2023-11-01,25-277,BOS,W (+51),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,-3.2,5,0,2,0,0,0,1,2,19:11,0,4,.000,0,4,.000,0,0,,0,0,-10,BRK,A,2023-11-04,25-280,BOS,W (+10),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,2.2,6,0,3,6,0,0,0,2,20:22,0,3,.000,0,1,.000,0,0,,3,3,+13,MIN,A,2023-11-06,25-282,BOS,L (-5),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,0.4,7,0,4,2,0,0,1,0,16:01,0,4,.000,0,2,.000,0,0,,2,0,-2,PHI,A,2023-11-08,25-284,BOS,L (-3),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,13.4,8,13,3,5,1,0,0,1,30:28,5,10,.500,2,7,.286,1,2,.500,4,1,+9,BRK,H,2023-11-10,25-286,BOS,W (+14),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,8.7,9,7,4,6,0,0,1,1,24:30,2,5,.400,1,3,.333,2,2,1.000,3,3,+14,TOR,H,2023-11-11,25-287,BOS,W (+23),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,5.5,10,5,3,3,0,0,0,3,19:21,2,3,.667,1,1,1.000,0,0,,0,3,+5,NYK,H,2023-11-13,25-289,BOS,W (+16),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,5.4,11,5,3,2,0,0,0,0,23:15,2,5,.400,1,3,.333,0,0,,1,1,+7,PHI,A,2023-11-15,25-291,BOS,W (+10),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,4.9,12,5,3,3,1,0,0,1,17:27,2,7,.286,1,5,.200,0,0,,1,2,+11,TOR,A,2023-11-17,25-293,BOS,W (+3),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,4.1,13,7,1,3,0,0,1,0,15:13,2,5,.400,1,2,.500,2,4,.500,0,3,0,MEM,A,2023-11-19,25-295,BOS,W (+2),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,20.7,14,21,3,6,2,0,0,1,33:01,8,14,.571,5,8,.625,0,0,,2,4,+16,CHO,A,2023-11-20,25-296,BOS,L (-3),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,6.0,15,10,1,2,0,0,2,0,21:23,4,7,.571,2,4,.500,0,0,,0,2,+6,MIL,H,2023-11-22,25-298,BOS,W (+3),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,1.7,16,2,2,1,0,0,1,0,13:07,1,2,.500,0,0,,0,0,,0,1,-6,ORL,A,2023-11-24,25-300,BOS,L (-17),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,3.2,17,6,0,2,0,0,0,0,19:54,2,6,.333,2,6,.333,0,0,,0,2,-10,ATL,H,2023-11-26,25-302,BOS,W (+10),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,9.9,18,11,2,5,1,0,0,0,22:50,4,10,.400,3,7,.429,0,0,,1,4,+11,CHI,H,2023-11-28,25-304,BOS,W (+27),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,11.0,19,10,5,2,1,0,0,1,23:21,3,7,.429,2,6,.333,2,2,1.000,0,2,-2,PHI,H,2023-12-01,25-307,BOS,W (+6),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,-0.9,20,0,2,4,0,0,0,0,15:19,0,5,.000,0,4,.000,0,0,,0,4,-4,IND,A,2023-12-04,25-310,BOS,L (-10),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,4.6,21,5,2,2,0,0,0,2,18:32,2,4,.500,1,3,.333,0,0,,1,1,-12,NYK,H,2023-12-08,25-314,BOS,W (+10),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,7.6,22,6,3,3,2,1,1,1,11:48,2,5,.400,2,5,.400,0,0,,0,3,+10,CLE,H,2023-12-12,25-318,BOS,W (+7),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,1.9,23,0,2,3,0,1,0,1,14:19,0,1,.000,0,1,.000,0,0,,0,3,+1,CLE,H,2023-12-14,25-320,BOS,W (+9),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,20.6,24,21,5,3,1,0,0,4,28:17,7,10,.700,6,7,.857,1,2,.500,1,2,+8,ORL,H,2023-12-15,25-321,BOS,W (+17),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,5.5,25,5,3,6,0,1,1,3,20:37,2,5,.400,1,1,1.000,0,0,,2,4,+10,ORL,H,2023-12-17,25-323,BOS,W (+17),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,8.4,26,11,2,0,0,0,1,1,19:20,4,6,.667,3,5,.600,0,0,,0,0,-10,GSW,A,2023-12-19,25-325,BOS,L (-6),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,17.2,27,20,4,4,1,0,1,1,29:29,6,12,.500,6,11,.545,2,3,.667,0,4,+10,SAC,A,2023-12-20,25-326,BOS,W (+25),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,7.1,28,9,3,4,0,0,0,3,23:11,3,8,.375,3,5,.600,0,0,,1,3,+13,LAC,A,2023-12-23,25-329,BOS,W (+37),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,7.0,29,10,0,2,0,0,0,1,12:42,4,8,.500,2,6,.333,0,0,,2,0,-5,LAL,A,2023-12-25,25-331,BOS,W (+11),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,6.3,30,9,2,4,1,0,1,0,23:35,4,11,.364,1,6,.167,0,0,,2,2,-9,DET,H,2023-12-28,25-334,BOS,W (+6),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,6.9,31,9,6,5,0,0,2,3,25:08,3,10,.300,3,8,.375,0,0,,3,2,-3,TOR,H,2023-12-29,25-335,BOS,W (+2),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,10.4,32,9,7,3,0,0,0,0,18:58,4,8,.500,1,5,.200,0,2,.000,1,2,+10,SAS,A,2023-12-31,25-337,BOS,W (+33),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,8.0,33,5,4,3,2,0,0,1,25:27,2,5,.400,1,4,.250,0,0,,1,2,+9,OKC,A,2024-01-02,25-339,BOS,L (-4),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,1.8,34,7,4,2,1,0,3,3,23:10,3,10,.300,1,7,.143,0,0,,1,1,+14,UTA,H,2024-01-05,25-342,BOS,W (+29),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,3.9,35,5,0,2,1,0,0,0,15:28,2,5,.400,1,3,.333,0,0,,0,2,+10,IND,A,2024-01-06,25-343,BOS,W (+17),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,15.8,36,14,3,7,0,0,1,2,23:27,5,6,.833,4,5,.800,0,0,,4,3,-2,IND,A,2024-01-08,25-345,BOS,L (-2),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,1.6,37,3,1,1,0,0,0,0,16:22,1,4,.250,1,3,.333,0,0,,0,1,+3,MIN,H,2024-01-10,25-347,BOS,W (+7),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,17.6,38,21,4,4,0,1,1,1,30:35,6,13,.462,2,9,.222,7,7,1.000,0,4,-13,MIL,A,2024-01-11,25-348,BOS,L (-33),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,16.5,39,19,3,4,0,0,2,1,22:35,7,10,.700,3,6,.500,2,2,1.000,2,2,+12,HOU,H,2024-01-13,25-350,BOS,W (+32),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,0.0,40,3,2,3,0,0,0,2,23:44,1,7,.143,1,6,.167,0,0,,0,3,+16,TOR,A,2024-01-15,25-352,BOS,W (+9),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,10.9,41,12,4,3,1,0,0,2,27:07,4,10,.400,2,4,.500,2,2,1.000,1,2,+17,SAS,H,2024-01-17,25-354,BOS,W (+19),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,3.3,42,3,1,2,0,0,0,1,12:21,1,2,.500,1,1,1.000,0,0,,1,1,0,DEN,H,2024-01-19,25-356,BOS,L (-2),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,11.4,43,9,4,2,2,0,0,1,30:20,3,6,.500,3,5,.600,0,0,,1,1,+5,HOU,A,2024-01-21,25-358,BOS,W (+9),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,7.9,44,5,6,7,1,1,1,1,24:30,2,7,.286,1,4,.250,0,0,,1,6,+16,DAL,A,2024-01-22,25-359,BOS,W (+9),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,10.7,45,11,3,3,0,0,0,0,23:11,4,7,.571,1,2,.500,2,2,1.000,0,3,+13,MIA,A,2024-01-25,25-362,BOS,W (+33),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,10.2,46,12,2,4,0,0,0,1,21:01,4,8,.500,3,7,.429,1,1,1.000,0,4,-12,LAC,H,2024-01-27,25-364,BOS,L (-19),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,1.1,47,5,0,0,1,0,1,3,14:22,2,5,.400,1,4,.250,0,0,,0,0,-8,NOP,H,2024-01-29,26-001,BOS,W (+6),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,3.5,48,3,3,4,0,0,0,2,16:30,1,4,.250,1,3,.333,0,0,,1,3,+12,IND,H,2024-01-30,26-002,BOS,W (+5),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,5.0,49,8,1,0,0,1,1,1,21:18,3,6,.500,2,5,.400,0,0,,0,0,+13,LAL,H,2024-02-01,26-004,BOS,L (-9),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,3.5,50,6,3,2,1,0,1,2,15:00,2,8,.250,0,6,.000,2,2,1.000,1,1,+2,MEM,H,2024-02-04,26-007,BOS,W (+40),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,6.3,51,8,2,2,1,0,2,1,15:55,3,5,.600,2,4,.500,0,0,,0,2,+11,ATL,H,2024-02-07,26-010,BOS,W (+8),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,10.2,52,11,1,6,0,0,0,0,16:54,4,7,.571,2,5,.400,1,1,1.000,0,6,+7,WAS,H,2024-02-09,26-012,BOS,W (+4),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,8.4,53,8,2,3,0,0,0,0,15:19,3,5,.600,2,4,.500,0,0,,1,2,-6,MIA,A,2024-02-11,26-014,BOS,W (+4),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,-1.0,54,3,1,3,0,0,1,3,15:24,1,6,.167,1,5,.200,0,0,,1,2,-8,BRK,A,2024-02-13,26-016,BOS,W (+8),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,24.5,55,28,3,4,0,0,0,1,31:44,11,16,.688,6,9,.667,0,0,,1,3,+29,BRK,H,2024-02-14,26-017,BOS,W (+50),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,5.6,56,9,1,3,0,0,2,0,19:51,3,6,.500,3,6,.500,0,0,,0,3,-1,CHI,A,2024-02-22,26-025,BOS,W (+17),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,2.3,57,2,2,2,1,0,1,2,15:17,1,3,.333,0,1,.000,0,0,,2,0,+3,NYK,A,2024-02-24,26-027,BOS,W (+14),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,-0.2,58,2,0,2,1,0,1,1,16:12,1,4,.250,0,3,.000,0,0,,0,2,-13,PHI,H,2024-02-27,26-030,BOS,W (+18),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,6.6,59,10,1,2,0,0,1,2,16:01,4,7,.571,2,4,.500,0,0,,1,1,+6,DAL,H,2024-03-01,26-033,BOS,W (+28),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,18.6,60,19,6,6,2,0,2,3,27:21,8,12,.667,3,5,.600,0,0,,0,6,+17,GSW,H,2024-03-03,26-035,BOS,W (+52),0,2023-24,1,26,26
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,https://www.basketball-reference.com/players/p/pritcpa01/gamelog/2024,0.5,61,2,1,5,0,0,2,1,12:50,1,3,.333,0,1,.000,0,0,,1,4,-7,CLE,A,2024-03-05,26-037,BOS,L (-1),0,2023-24,1,26,26
