Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,17.4,1,20,4,6,3,0,3,4,35:11,6,12,.500,0,2,.000,8,9,.889,2,4,-3,CLE,H,2023-10-25,27-056,BRK,L (-1),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,10.4,2,18,3,4,0,0,1,2,35:28,6,17,.353,3,7,.429,3,3,1.000,1,3,-12,DAL,A,2023-10-27,27-058,BRK,L (-5),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,19.7,3,24,4,7,1,1,5,3,37:44,10,13,.769,1,3,.333,3,3,1.000,1,6,+10,CHO,A,2023-10-30,27-061,BRK,W (+12),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,17.6,4,21,5,7,1,0,2,1,30:37,7,16,.438,2,7,.286,5,5,1.000,2,5,-14,MIA,A,2023-11-01,27-063,BRK,W (+4),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,13.6,5,20,3,2,0,0,0,0,33:28,8,17,.471,3,8,.375,1,2,.500,0,2,-5,CHI,A,2023-11-03,27-065,BRK,W (+2),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,13.3,6,19,4,6,1,1,0,4,37:47,7,20,.350,4,11,.364,1,1,1.000,2,4,-9,BOS,H,2023-11-04,27-066,BRK,L (-10),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,25.3,7,31,4,5,1,1,1,2,38:39,12,21,.571,1,5,.200,6,7,.857,1,4,+7,MIL,H,2023-11-06,27-068,BRK,L (-4),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,11.2,8,10,7,8,2,2,3,1,34:06,4,11,.364,1,4,.250,1,2,.500,1,7,+1,LAC,H,2023-11-08,27-070,BRK,W (+7),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,5.3,9,12,1,5,0,0,2,2,27:41,4,11,.364,1,6,.167,3,3,1.000,0,5,-14,BOS,A,2023-11-10,27-072,BRK,L (-14),1,2023-24,1,10,10
1,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,5,Villanova,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2024,14.2,10,27,2,13,1,0,4,0,34:22,11,29,.379,2,14,.143,3,5,.600,4,9,+17,WAS,H,2023-11-12,27-074,BRK,W (+8),1,2023-24,1,10,10
