Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick,Moved
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,14.6,1,17,4,6,1,0,1,0,27:55,5,14,0.357,3,10,0.3,4,4,1.0,2,4,9.0,SAS,A,2023-10-25,31-223,DAL,W (+7),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,10.0,2,19,1,4,0,0,1,2,30:14,6,17,0.353,3,7,0.429,4,4,1.0,1,3,13.0,BRK,H,2023-10-27,31-225,DAL,W (+5),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,14.5,3,21,0,5,0,0,1,1,29:14,8,14,0.571,3,7,0.429,2,2,1.0,0,5,6.0,MEM,A,2023-10-30,31-228,DAL,W (+15),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,18.0,4,24,2,3,1,0,2,0,27:29,8,15,0.533,7,13,0.538,1,1,1.0,0,3,-9.0,CHI,H,2023-11-01,31-230,DAL,W (+9),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,4.7,5,9,2,3,1,0,2,3,26:45,3,8,0.375,1,5,0.2,2,2,1.0,0,3,-10.0,DEN,A,2023-11-03,31-232,DAL,L (-11),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,7.4,6,16,1,2,0,0,0,0,32:13,5,17,0.294,4,12,0.333,2,2,1.0,0,2,1.0,CHO,H,2023-11-05,31-234,DAL,W (+6),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,14.8,7,21,0,6,0,0,0,0,30:50,8,16,0.5,4,11,0.364,1,1,1.0,0,6,3.0,ORL,A,2023-11-06,31-235,DAL,W (+15),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,10.4,8,17,1,2,0,0,3,0,25:34,6,11,0.545,5,9,0.556,0,0,,1,1,-19.0,TOR,H,2023-11-08,31-237,DAL,L (-11),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,13.3,9,17,3,3,0,0,0,0,26:44,6,13,0.462,2,8,0.25,3,3,1.0,0,3,20.0,LAC,H,2023-11-10,31-239,DAL,W (+18),0,2023-24,1.0,24.0,24.0,False
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024,10.5,10,15,2,9,0,0,0,1,28:10,4,14,0.286,3,10,0.3,4,4,1.0,0,9,14.0,NOP,A,2023-11-12,31-241,DAL,W (+12),0,2023-24,1.0,24.0,24.0,False
