Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick,Moved
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,13.1,1,14,4,8,2,0,2,2,31:20,4,11,0.364,1,2,0.5,5,7,0.714,4,4,-14.0,DEN,A,2023-10-24,25-148,LAL,L (-12),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,6.0,2,10,1,2,1,0,1,5,27:54,4,7,0.571,1,2,0.5,1,2,0.5,1,1,-11.0,PHO,H,2023-10-26,25-150,LAL,W (+5),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,-3.8,3,5,2,2,1,0,3,2,27:32,1,12,0.083,1,8,0.125,2,2,1.0,0,2,-12.0,SAC,A,2023-10-29,25-153,LAL,L (-5),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,5.3,4,11,3,3,0,1,3,0,31:19,5,12,0.417,1,4,0.25,0,0,,0,3,-14.0,ORL,H,2023-10-30,25-154,LAL,W (+3),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,12.1,5,15,7,7,3,0,5,4,37:37,5,13,0.385,0,3,0.0,5,5,1.0,2,5,-5.0,LAC,H,2023-11-01,25-156,LAL,W (+5),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,17.7,6,20,2,2,2,0,1,0,34:00,7,11,0.636,3,5,0.6,3,4,0.75,0,2,6.0,ORL,A,2023-11-04,25-159,LAL,L (-19),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,23.5,7,23,9,10,1,0,4,1,40:08,9,14,0.643,3,8,0.375,2,3,0.667,3,7,2.0,MIA,A,2023-11-06,25-161,LAL,L (-1),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,4.2,8,7,4,1,2,0,2,1,25:56,2,9,0.222,0,4,0.0,3,3,1.0,0,1,-28.0,HOU,A,2023-11-08,25-163,LAL,L (-34),1,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,13.5,9,15,7,1,1,0,2,1,35:24,6,11,0.545,2,4,0.5,1,1,1.0,0,1,-2.0,PHO,A,2023-11-10,25-165,LAL,W (+3),0,2023-24,,,,False
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01/gamelog/2024,15.0,10,18,4,4,0,0,1,0,28:28,6,12,0.5,2,4,0.5,4,4,1.0,0,4,3.0,POR,H,2023-11-12,25-167,LAL,W (+6),0,2023-24,,,,False
