Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,9.0,1,11,3,4,1,0,1,3,25:07,4,7,.571,2,3,.667,1,3,.333,0,4,+14,CHI,A,2023-10-25,21-177,OKC,W (+20),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,20.7,2,16,2,13,1,7,1,3,30:50,5,9,.556,3,4,.750,3,4,.750,1,12,+6,CLE,A,2023-10-27,21-179,OKC,W (+3),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,13.6,3,19,0,4,0,0,1,2,25:34,7,12,.583,1,4,.250,4,4,1.000,2,2,-23,DEN,H,2023-10-29,21-181,OKC,L (-33),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,15.2,4,14,3,4,2,4,3,5,24:02,4,5,.800,4,5,.800,2,2,1.000,0,4,+9,DET,H,2023-10-30,21-182,OKC,W (+12),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,14.8,5,19,3,11,1,2,5,4,37:16,8,14,.571,1,5,.200,2,2,1.000,3,8,-1,NOP,H,2023-11-01,21-184,OKC,L (-4),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,25.7,6,24,5,8,1,1,2,4,31:59,7,9,.778,2,2,1.000,8,8,1.000,3,5,-1,GSW,H,2023-11-03,21-186,OKC,L (-2),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,15.6,7,16,3,12,1,3,1,3,33:52,4,14,.286,1,3,.333,7,7,1.000,3,9,+3,ATL,H,2023-11-06,21-189,OKC,W (+9),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,15.0,8,15,2,7,1,3,2,4,29:17,7,10,.700,1,1,1.000,0,0,,3,4,+3,CLE,H,2023-11-08,21-191,OKC,W (+8),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,5.3,9,12,1,7,1,1,4,2,29:36,5,12,.417,0,3,.000,2,3,.667,1,6,-13,SAC,A,2023-11-10,21-193,OKC,L (-7),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,17.8,10,18,4,6,0,2,0,3,33:07,5,10,.500,3,6,.500,5,5,1.000,0,6,+27,PHO,A,2023-11-12,21-195,OKC,W (+12),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,7.3,11,9,3,7,2,1,2,2,29:39,3,10,.300,1,5,.200,2,2,1.000,0,7,+30,SAS,H,2023-11-14,21-197,OKC,W (+36),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,11.1,12,13,2,10,0,2,4,2,27:06,4,7,.571,0,2,.000,5,5,1.000,1,9,-1,GSW,A,2023-11-16,21-199,OKC,W (+19),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,32.5,13,36,5,10,2,2,4,2,36:57,14,22,.636,2,5,.400,6,7,.857,4,6,+9,GSW,A,2023-11-18,21-201,OKC,W (+7),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,17.0,14,16,0,6,0,2,0,1,20:03,6,6,1.000,2,2,1.000,2,2,1.000,0,6,+10,POR,A,2023-11-19,21-202,OKC,W (+43),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,19.0,15,18,2,13,1,4,2,3,31:47,5,11,.455,0,3,.000,8,11,.727,5,8,+18,CHI,H,2023-11-22,21-205,OKC,W (+14),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,27.0,16,33,2,6,0,3,1,3,31:31,13,21,.619,5,11,.455,2,2,1.000,1,5,+4,PHI,H,2023-11-25,21-208,OKC,L (-4),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,12.3,17,16,6,8,1,1,0,2,33:50,6,20,.300,3,8,.375,1,2,.500,2,6,-4,MIN,A,2023-11-28,21-211,OKC,L (-3),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,12.1,18,18,1,5,2,0,2,3,28:16,8,15,.533,1,6,.167,1,1,1.000,1,4,+16,LAL,H,2023-11-30,21-213,OKC,W (+23),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,12.4,19,11,3,11,1,4,2,3,30:19,4,10,.400,0,3,.000,3,4,.750,3,8,+4,DAL,A,2023-12-02,21-215,OKC,W (+6),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,5.2,20,4,2,5,1,6,1,2,25:59,2,9,.222,0,4,.000,0,0,,1,4,-16,HOU,A,2023-12-06,21-219,OKC,L (-9),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,16.1,21,21,1,7,0,3,3,4,34:35,6,12,.500,1,4,.250,8,8,1.000,2,5,-3,GSW,H,2023-12-08,21-221,OKC,W (+2),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,15.3,22,16,2,8,1,2,3,2,25:02,6,9,.667,2,3,.667,2,2,1.000,2,6,+24,UTA,H,2023-12-11,21-224,OKC,W (+14),1,2023-24,1,2,2
7,Chet Holmgren,C,7-1,195,"May 1, 2002",us,R,Gonzaga,https://www.basketball-reference.com/players/h/holmgch01/gamelog/2024,12.3,23,14,1,11,0,3,1,4,30:02,6,12,.500,0,2,.000,2,2,1.000,2,9,-10,SAC,A,2023-12-14,21-227,OKC,L (-5),1,2023-24,1,2,2
