Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,14.5,1,15,1,10,1,2,1,1,32:56,7,12,.583,1,5,.200,0,0,,1,9,+9,CHO,A,2020-12-26,20-197,OKC,W (+2),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,4.8,2,9,0,11,0,1,3,1,33:21,3,8,.375,2,4,.500,1,2,.500,0,11,-5,UTA,H,2020-12-28,20-199,OKC,L (-1),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,0.8,3,6,2,6,0,2,2,0,28:31,3,14,.214,0,4,.000,0,0,,2,4,-9,ORL,H,2020-12-29,20-200,OKC,L (-11),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,2.5,4,7,2,4,0,1,4,2,26:44,2,6,.333,0,3,.000,3,3,1.000,1,3,-11,NOP,H,2020-12-31,20-202,OKC,L (-33),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,20.5,5,19,2,12,0,1,0,0,32:24,7,10,.700,2,4,.500,3,3,1.000,0,12,+1,ORL,A,2021-01-02,20-204,OKC,W (+9),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,15.1,6,16,2,8,2,1,2,1,25:55,5,10,.500,3,5,.600,3,3,1.000,0,8,-17,MIA,A,2021-01-04,20-206,OKC,L (-28),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,12.1,7,20,3,12,1,0,3,3,33:57,8,20,.400,3,11,.273,1,1,1.000,1,11,+9,NOP,A,2021-01-06,20-208,OKC,W (+1),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,0.3,8,4,0,7,0,1,1,1,23:23,2,9,.222,0,3,.000,0,0,,1,6,-5,NYK,A,2021-01-08,20-210,OKC,W (+12),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,4.9,9,5,2,5,0,2,1,1,33:19,2,6,.333,1,4,.250,0,0,,1,4,-7,BRK,A,2021-01-10,20-212,OKC,W (+13),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,6.3,10,12,2,6,0,1,1,2,32:43,4,14,.286,2,7,.286,2,2,1.000,1,5,-7,SAS,H,2021-01-12,20-214,OKC,L (-10),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,0.6,11,3,0,5,1,0,1,2,24:35,1,5,.200,0,3,.000,1,2,.500,1,4,-19,LAL,H,2021-01-13,20-215,OKC,L (-29),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,1.5,12,9,2,5,2,0,4,2,27:33,3,12,.250,1,3,.333,2,3,.667,0,5,-21,CHI,H,2021-01-15,20-217,OKC,W (+2),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,7.7,13,12,0,2,0,2,1,0,23:43,5,11,.455,2,7,.286,0,0,,1,1,-10,DEN,A,2021-01-19,20-221,OKC,L (-18),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,4.7,14,8,1,4,0,0,0,0,33:22,3,8,.375,2,6,.333,0,2,.000,0,4,-12,LAC,A,2021-01-22,20-224,OKC,L (-14),1,2020-21,1,23,23
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,1,None,https://www.basketball-reference.com/players/b/bazleda01/gamelog/2021,5.6,15,9,2,11,0,0,4,2,28:59,4,7,.571,1,3,.333,0,0,,0,11,-6,LAC,A,2021-01-24,20-226,OKC,L (-8),1,2020-21,1,23,23
