Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,1.7,1,3,2,4,0,1,2,4,11:34,1,2,.500,0,1,.000,1,2,.500,1,3,0,MIL,A,2023-10-26,24-134,PHI,L (-1),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,2.7,2,4,0,5,1,0,1,4,12:39,2,4,.500,0,0,,0,0,,2,3,+9,TOR,A,2023-10-28,24-136,PHI,W (+7),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,0.4,3,2,1,5,0,1,1,2,17:03,1,5,.200,0,2,.000,0,0,,1,4,0,POR,H,2023-10-29,24-137,PHI,W (+28),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,6.0,4,6,0,5,0,1,1,2,12:00,3,4,.750,0,0,,0,0,,3,2,-5,TOR,H,2023-11-02,24-141,PHI,W (+15),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,3.4,5,4,1,5,0,0,0,3,14:38,2,4,.500,0,0,,0,0,,1,4,+13,PHO,H,2023-11-04,24-143,PHI,W (+12),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,8.7,6,6,2,6,1,0,1,1,13:31,3,3,1.000,0,0,,0,0,,2,4,+9,WAS,H,2023-11-06,24-145,PHI,W (+18),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,8.5,7,8,0,4,1,0,1,0,10:34,4,5,.800,0,0,,0,0,,3,1,-1,BOS,H,2023-11-08,24-147,PHI,W (+3),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,1.0,8,2,0,4,0,0,0,3,12:12,1,2,.500,0,0,,0,0,,0,4,+7,DET,A,2023-11-10,24-149,PHI,W (+8),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,6.9,9,4,3,6,1,0,0,2,15:06,2,4,.500,0,0,,0,0,,2,4,+12,IND,H,2023-11-12,24-151,PHI,W (+11),0,2023-24,2,28,58
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul,https://www.basketball-reference.com/players/r/reedpa01/gamelog/2024,2.4,10,2,1,1,0,1,1,1,10:20,1,1,1.000,0,0,,0,0,,1,0,+3,IND,H,2023-11-14,24-153,PHI,L (-6),0,2023-24,2,28,58
