Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick,Moved_x,Moved_y
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,2.7,1,5,2,2,1,1,0,3,26:42,2,8,0.25,1,4,0.25,0,0,,0,2,3.0,MIN,H,2023-10-25,24-280,TOR,W (+3),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,10.3,2,16,1,5,2,0,1,1,36:09,6,15,0.4,3,10,0.3,1,4,0.25,2,3,-15.0,CHI,A,2023-10-27,24-282,TOR,L (-1),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,8.4,3,17,0,2,1,0,1,0,33:05,6,16,0.375,3,5,0.6,2,4,0.5,1,1,3.0,PHI,H,2023-10-28,24-283,TOR,L (-7),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,-0.4,4,3,2,1,1,0,0,2,18:53,1,7,0.143,0,1,0.0,1,3,0.333,0,1,-10.0,POR,H,2023-10-30,24-285,TOR,L (-8),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,2.1,5,8,1,3,0,0,1,2,23:25,4,11,0.364,0,5,0.0,0,0,,1,2,8.0,MIL,H,2023-11-01,24-287,TOR,W (+19),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,1.5,6,8,0,5,1,0,3,1,23:08,2,8,0.25,2,5,0.4,2,4,0.5,0,5,-15.0,PHI,A,2023-11-02,24-288,TOR,L (-15),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,4.6,7,10,0,0,1,0,2,1,29:01,4,8,0.5,2,4,0.5,0,0,,0,0,-1.0,SAS,A,2023-11-05,24-291,TOR,W (+7),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,13.0,8,16,1,2,1,0,0,0,26:07,6,11,0.545,4,8,0.5,0,0,,0,2,9.0,DAL,A,2023-11-08,24-294,TOR,W (+11),0,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,11.2,9,14,1,2,1,0,0,0,31:02,4,9,0.444,3,5,0.6,3,4,0.75,0,2,14.0,BOS,H,2023-11-17,24-303,TOR,L (-3),1,2023-24,2.0,7.0,37.0,False,False
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke,https://www.basketball-reference.com/players/t/trentga02/gamelog/2024,15.7,10,18,3,1,1,1,0,1,26:26,6,12,0.5,2,7,0.286,4,4,1.0,0,1,20.0,DET,H,2023-11-19,24-305,TOR,W (+29),0,2023-24,2.0,7.0,37.0,False,False
