Number,Player,Position,Height,Weight,Birth Date,Country,Years Experience,College,Player URL,Game Score,Game Season,Points,Assists,Rebounds,Steals,Blocks,Turnovers,Personal Fouls,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Points Made,Three Points Attempted,Three Points Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Offensive Rebounds,Defensive Rebounds,Plus Minus,Opponent,Location,Game Date,Age,Team,Game Result,Starter,Season,Draft Round,Draft Pick in Round,Draft Overall Pick,Moved
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,-0.4,1,0,0,0,0,0,0,1,4:09,0,0,,0,0,,0,0,,0,0,6.0,PHO,H,2013-11-29,27-241,UTA,L (-11),0,2013-14,1.0,11.0,11.0,False
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,-0.5,2,0,0,3,0,0,1,1,4:13,0,0,,0,0,,0,0,,0,3,-3.0,IND,H,2013-12-04,27-246,UTA,L (-9),0,2013-14,1.0,11.0,11.0,False
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,1.9,3,2,0,2,0,0,0,2,7:06,1,1,1.0,0,0,,0,0,,1,1,-10.0,POR,A,2013-12-06,27-248,UTA,L (-32),0,2013-14,1.0,11.0,11.0,False
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,-1.2,4,1,0,4,0,0,1,1,13:31,0,0,,0,0,,1,6,0.167,0,4,9.0,SAC,H,2013-12-07,27-249,UTA,L (-10),0,2013-14,1.0,11.0,11.0,False
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,2.1,5,0,0,7,0,0,0,1,13:14,0,0,,0,0,,0,0,,1,6,4.0,POR,H,2013-12-09,27-251,UTA,L (-11),0,2013-14,1.0,11.0,11.0,False
11,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,9,,https://www.basketball-reference.com/players/b/biedran01/gamelog/2014,0.3,6,0,0,1,0,0,0,0,2:22,0,0,,0,0,,0,0,,0,1,-4.0,MIA,A,2013-12-16,27-258,UTA,L (-23),0,2013-14,1.0,11.0,11.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,8.6,1,11,1,1,1,0,0,2,12:00,5,8,0.625,1,2,0.5,0,0,,0,1,-6.0,NOP,A,2013-11-20,21-008,UTA,L (-7),0,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,1.8,2,5,3,5,0,0,2,1,19:36,2,8,0.25,0,4,0.0,1,1,1.0,1,4,-1.0,DAL,A,2013-11-22,21-010,UTA,L (-10),0,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,0.9,3,4,4,2,0,0,1,0,20:11,2,9,0.222,0,2,0.0,0,0,,0,2,-20.0,OKC,A,2013-11-24,21-012,UTA,L (-22),1,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,3.5,4,14,4,6,1,0,5,3,34:13,5,17,0.294,2,5,0.4,2,2,1.0,0,6,13.0,CHI,H,2013-11-25,21-013,UTA,W (+6),1,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,8.2,5,13,3,1,1,0,0,2,25:25,6,14,0.429,1,4,0.25,0,0,,0,1,-7.0,PHO,H,2013-11-29,21-017,UTA,L (-11),1,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,16.0,6,20,3,6,2,0,1,4,32:12,6,15,0.4,4,6,0.667,4,4,1.0,2,4,2.0,PHO,A,2013-11-30,21-018,UTA,W (+8),1,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,17.7,7,21,6,3,1,0,0,1,36:48,9,18,0.5,3,6,0.5,0,0,,0,3,19.0,HOU,H,2013-12-02,21-020,UTA,W (+6),1,2013-14,1.0,9.0,9.0,False
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,R,Michigan,https://www.basketball-reference.com/players/b/burketr01/gamelog/2014,12.7,8,13,9,2,1,0,1,1,38:49,5,12,0.417,2,2,1.0,1,2,0.5,0,2,-6.0,IND,H,2013-12-04,21-022,UTA,L (-9),1,2013-14,1.0,9.0,9.0,False
