Player,Season,Team,Avg_Total_Passes
A.J. Lawson,2022-23,DAL,0.776
A.J. Lawson,2022-23,MIN,1.0
Aaron Brooks,2013-14,DEN,2.973333333333333
Aaron Brooks,2013-14,HOU,1.7200000000000002
Aaron Gordon,2020-21,DEN,1.6307692307692307
Aaron Gordon,2020-21,ORL,2.981333333333333
Aaron Gray,2013-14,SAC,0.8961538461538461
Aaron Gray,2013-14,TOR,1.5
Aaron Holiday,2021-22,WAS,1.3164705882352943
Adonis Thomas,2013-14,ORL,0.8325
Adonis Thomas,2013-14,PHI,0.9285714285714286
Adreian Payne,2014-15,ATL,1.1885714285714286
Adreian Payne,2014-15,MIN,2.122
Al-Farouq Aminu,2020-21,CHI,1.072142857142857
Al-Farouq Aminu,2020-21,ORL,1.937142857142857
Alec Burks,2018-19,CLE,2.0988235294117645
Alec Burks,2018-19,SAC,0.8453846153846155
Alec Burks,2018-19,UTA,1.0807142857142857
Alec Burks,2019-20,GSW,2.878571428571429
Alec Burks,2019-20,PHI,1.8376923076923075
Alec Burks,2023-24,DET,1.1994117647058826
Alec Burks,2023-24,NYK,1.2791666666666666
Aleksej Pokusevski,2023-24,OKC,0.5230769230769231
Alex Len,2019-20,ATL,1.49
Alex Len,2019-20,SAC,1.671
Alex Len,2020-21,TOR,1.1775
Alex Len,2020-21,WAS,1.1885714285714286
Alex Stepheson,2015-16,LAC,0.49750000000000005
Alex Stepheson,2015-16,MEM,1.35
Alexey Shved,2014-15,HOU,0.5046153846153847
Alexey Shved,2014-15,NYK,3.563333333333334
Alexey Shved,2014-15,PHI,1.9614285714285713
Alize Johnson,2021-22,CHI,0.7161538461538461
Alize Johnson,2021-22,NOP,1.35
Alize Johnson,2021-22,WAS,0.62375
Allen Crabbe,2019-20,ATL,0.838125
Allen Crabbe,2019-20,MIN,0.8118750000000001
Alonzo Gee,2014-15,DEN,0.6519999999999999
Alonzo Gee,2014-15,POR,0.6724999999999999
Amar'e Stoudemire,2014-15,DAL,1.2040000000000002
Amar'e Stoudemire,2014-15,NYK,1.9068749999999999
Andre Drummond,2019-20,CLE,3.572222222222223
Andre Drummond,2019-20,DET,2.9899999999999998
Andre Drummond,2020-21,CLE,2.5175
Andre Drummond,2020-21,LAL,2.575454545454545
Andre Drummond,2021-22,PHI,1.5553846153846156
Andre Miller,2013-14,DEN,1.9800000000000002
Andre Miller,2013-14,WAS,2.1907692307692312
Andre Miller,2014-15,SAC,3.3091666666666666
Andre Miller,2014-15,WAS,1.9335714285714285
Andre Miller,2015-16,MIN,1.3771428571428572
Andre Miller,2015-16,SAS,1.8659999999999997
Andrew Bogut,2016-17,CLE,1.0
Andrew Bogut,2016-17,DAL,2.428461538461538
Andrew Bynum,2013-14,CLE,1.2441666666666669
Andrew Bynum,2013-14,IND,1.875
Andrew Harrison,2018-19,CLE,2.0166666666666666
Andrew Harrison,2018-19,MEM,2.0
Andrew Harrison,2018-19,NOP,0.8341666666666666
Andrew Nicholson,2016-17,WAS,0.7216666666666668
Andrew Wiggins,2019-20,GSW,2.5833333333333335
Andrew Wiggins,2019-20,MIN,2.4147058823529415
Anthony Brown,2016-17,NOP,1.323
Anthony Brown,2016-17,ORL,1.6
Anthony Morrow,2016-17,CHI,0.377
Anthony Morrow,2016-17,OKC,0.5961538461538461
Anthony Tolliver,2014-15,DET,1.6635294117647057
Anthony Tolliver,2019-20,MEM,1.2761538461538464
Anthony Tolliver,2019-20,POR,1.2000000000000002
Anthony Tolliver,2019-20,SAC,0.8210000000000001
Antonius Cleveland,2017-18,ATL,0.53125
Antonius Cleveland,2017-18,DAL,0.4699999999999999
Archie Goodwin,2016-17,NOP,1.1428571428571428
Arinze Onuaku,2013-14,CLE,1.5
Arinze Onuaku,2013-14,NOP,1.61
Armoni Brooks,2021-22,HOU,1.1
Armoni Brooks,2021-22,TOR,1.09
Arron Afflalo,2014-15,DEN,1.556666666666667
Arron Afflalo,2014-15,POR,1.7138461538461542
Austin Daye,2013-14,SAS,0.8666666666666667
Austin Daye,2013-14,TOR,0.5492307692307692
Austin Daye,2014-15,ATL,1.0444444444444445
Austin Daye,2014-15,SAS,1.0307142857142855
Austin Rivers,2014-15,LAC,1.45
Austin Rivers,2014-15,NOP,1.858666666666667
Austin Rivers,2018-19,HOU,1.286315789473684
Austin Rivers,2018-19,WAS,1.5979999999999999
Austin Rivers,2020-21,DEN,2.19
Austin Rivers,2020-21,NYK,1.7215384615384612
Avery Bradley,2017-18,DET,1.6935714285714287
Avery Bradley,2017-18,LAC,1.6490000000000002
Avery Bradley,2018-19,LAC,1.3735714285714287
Avery Bradley,2018-19,MEM,2.8874999999999997
Avery Bradley,2020-21,HOU,1.6564285714285714
Avery Bradley,2020-21,MIA,1.3769230769230774
Axel Toupane,2016-17,MIL,1.5
Axel Toupane,2016-17,NOP,2.5
Ben McLemore,2020-21,HOU,0.7028571428571427
Ben McLemore,2020-21,LAL,0.9466666666666668
Beno Udrih,2013-14,MEM,0.7
Beno Udrih,2013-14,NYK,2.5353333333333334
Beno Udrih,2015-16,MEM,2.721666666666667
Beno Udrih,2015-16,MIA,2.200666666666667
Bismack Biyombo,2023-24,MEM,1.98
Bismack Biyombo,2023-24,OKC,0.5999999999999999
Blake Griffin,2017-18,DET,5.021538461538461
Blake Griffin,2017-18,LAC,4.091428571428572
Blake Griffin,2020-21,DET,2.753125
Bobby Portis,2018-19,CHI,2.305333333333333
Bobby Portis,2018-19,WAS,2.7808333333333333
Bones Hyland,2022-23,DEN,2.525384615384615
Bones Hyland,2022-23,LAC,1.9040000000000001
Brad Wanamaker,2020-21,GSW,2.0214285714285714
Brad Wanamaker,2021-22,IND,1.7071428571428573
Brad Wanamaker,2021-22,WAS,6.857142857142857
Brandan Wright,2014-15,BOS,0.8545454545454544
Brandan Wright,2014-15,DAL,1.637
Brandan Wright,2017-18,HOU,3.0
Brandan Wright,2017-18,MEM,1.0671428571428572
Brandon Davies,2014-15,PHI,2.273076923076923
Brandon Jennings,2015-16,DET,3.2072727272727275
Brandon Jennings,2015-16,ORL,2.7169230769230768
Brandon Jennings,2016-17,NYK,3.539285714285715
Brandon Jennings,2016-17,WAS,2.1714285714285717
Brandon Knight,2014-15,MIL,3.3112500000000002
Brandon Knight,2018-19,CLE,1.8333333333333335
Brandon Knight,2018-19,HOU,0.9516666666666667
Brandon Knight,2019-20,CLE,1.129333333333333
Brandon Knight,2019-20,DET,2.8799999999999994
Braxton Key,2021-22,DET,1.9999999999999998
Braxton Key,2021-22,PHI,1.1666666666666667
Brian Roberts,2015-16,POR,0.8264285714285716
Briante Weber,2015-16,MEM,4.597499999999999
Briante Weber,2015-16,MIA,1.6666666666666667
Briante Weber,2016-17,GSW,1.232727272727273
Briante Weber,2017-18,HOU,1.2315384615384615
Briante Weber,2017-18,MEM,2.9285714285714284
Brice Johnson,2017-18,LAC,0.7237499999999999
Brice Johnson,2017-18,MEM,0.8575
Brodric Thomas,2020-21,CLE,0.7616666666666667
Brodric Thomas,2020-21,HOU,0.84375
Bruce Brown,2023-24,IND,2.3628571428571425
Bruce Brown,2023-24,TOR,1.42
Bruno Caboclo,2017-18,SAC,1.0716666666666665
Bruno Caboclo,2017-18,TOR,0.875
Bruno Caboclo,2019-20,HOU,0.7899999999999999
Bruno Caboclo,2019-20,MEM,0.86
Bruno Fernando,2021-22,BOS,0.2792307692307692
Bruno Fernando,2021-22,HOU,1.2899999999999998
Bruno Fernando,2022-23,ATL,0.571
Bruno Fernando,2022-23,HOU,1.3866666666666667
Bryce Cotton,2015-16,MEM,0.33
Bryn Forbes,2021-22,DEN,1.2123076923076923
Bryn Forbes,2021-22,SAS,0.7581249999999999
Buddy Hield,2016-17,NOP,1.1070588235294119
Buddy Hield,2016-17,SAC,2.186666666666667
Buddy Hield,2021-22,IND,3.3286666666666664
Buddy Hield,2021-22,SAC,1.7947058823529414
Buddy Hield,2023-24,IND,2.5246666666666666
Buddy Hield,2023-24,PHI,2.266875
Byron Mullens,2013-14,LAC,0.5092857142857145
Byron Mullens,2013-14,PHI,1.3
CJ McCollum,2021-22,NOP,3.395714285714285
CJ McCollum,2021-22,POR,2.567333333333333
Caleb Swanigan,2018-19,POR,0.9336363636363639
Caleb Swanigan,2018-19,SAC,1.71
Caleb Swanigan,2019-20,POR,1.4380000000000002
Caleb Swanigan,2019-20,SAC,0.49875
Cam Reddish,2021-22,ATL,0.7394736842105264
Cam Reddish,2021-22,NYK,0.5738461538461539
Cam Reddish,2022-23,NYK,1.1
Cam Reddish,2022-23,POR,1.9076923076923078
Cameron Payne,2016-17,CHI,1.2264285714285712
Cameron Payne,2016-17,OKC,1.7249999999999999
Cameron Payne,2018-19,CHI,2.3330769230769235
Cameron Payne,2018-19,CLE,1.6849999999999998
Cameron Payne,2023-24,MIL,1.5275
Cameron Payne,2023-24,PHI,2.1106249999999998
Caris LeVert,2020-21,IND,2.8614285714285717
Caris LeVert,2021-22,CLE,2.709285714285714
Caris LeVert,2021-22,IND,2.5294444444444446
Carlik Jones,2021-22,DAL,1.0425
Carlik Jones,2021-22,DEN,1.0
Caron Butler,2013-14,MIL,2.4738461538461536
Caron Butler,2013-14,OKC,1.6099999999999997
Cartier Martin,2013-14,ATL,0.9373333333333332
Cartier Martin,2013-14,CHI,0.6875
Chandler Hutchison,2020-21,CHI,0.9836363636363636
Chandler Hutchison,2020-21,WAS,0.7749999999999999
Channing Frye,2015-16,CLE,1.770714285714286
Channing Frye,2015-16,ORL,1.9225
Channing Frye,2017-18,CLE,1.1473333333333333
Channing Frye,2017-18,LAL,1.325
Charlie Brown Jr.,2021-22,DAL,0.7766666666666667
Charlie Brown Jr.,2021-22,PHI,0.48785714285714293
Chase Budinger,2015-16,IND,1.0253846153846156
Chasson Randle,2016-17,NYK,1.8215384615384616
Chasson Randle,2016-17,PHI,1.2225
Chaundee Brown Jr.,2021-22,ATL,2.1670000000000003
Chaundee Brown Jr.,2021-22,LAL,0.9285714285714286
Chimezie Metu,2023-24,DET,2.1791666666666667
Chris Andersen,2015-16,MEM,1.317857142857143
Chris Andersen,2015-16,MIA,0.4999999999999999
Chris Chiozza,2019-20,WAS,1.9692307692307693
Chris McCullough,2016-17,WAS,1.75
Chris Silva,2020-21,MIA,1.2325
Chris Silva,2020-21,SAC,0.42857142857142855
Chris Silva,2021-22,MIA,1.2200000000000002
Chris Silva,2021-22,MIN,1.75
Christian Wood,2018-19,MIL,0.374375
Christian Wood,2018-19,NOP,2.219090909090909
Chuck Hayes,2013-14,SAC,1.0608333333333335
Chuck Hayes,2013-14,TOR,1.1264285714285713
Corey Brewer,2014-15,HOU,1.2070588235294117
Corey Brewer,2014-15,MIN,2.0371428571428574
Corey Brewer,2016-17,HOU,0.8092307692307692
Corey Brewer,2016-17,LAL,1.0085714285714287
Corey Brewer,2017-18,LAL,0.5272222222222223
Corey Brewer,2017-18,OKC,1.4944444444444445
Corey Brewer,2018-19,PHI,1.3208333333333333
Corey Brewer,2018-19,SAC,0.7735714285714287
Cory Joseph,2020-21,DET,3.2600000000000002
Cory Joseph,2020-21,SAC,1.6175000000000002
Courtney Lee,2013-14,BOS,1.2716666666666667
Courtney Lee,2013-14,MEM,2.102857142857143
Courtney Lee,2015-16,MEM,1.8079999999999998
Courtney Lee,2018-19,DAL,0.6407692307692308
Courtney Lee,2018-19,NYK,0.8384615384615385
D'Angelo Russell,2019-20,GSW,3.9207142857142854
D'Angelo Russell,2019-20,MIN,5.034166666666667
D'Angelo Russell,2022-23,LAL,4.289090909090909
D'Angelo Russell,2022-23,MIN,4.259333333333333
D.J. Augustin,2013-14,CHI,4.285
D.J. Augustin,2013-14,TOR,0.9984615384615385
D.J. Augustin,2014-15,DET,3.2142857142857144
D.J. Augustin,2014-15,OKC,2.3907142857142856
D.J. Augustin,2015-16,DEN,2.7423076923076923
D.J. Augustin,2015-16,OKC,1.9484615384615387
D.J. Augustin,2020-21,HOU,1.7657894736842108
D.J. Augustin,2020-21,MIL,2.1108333333333333
