PLAYER_NAME_LAST_FIRST,PARTNER,PASSES_MADE,TEAM_ABBREVIATION,PASSES_RECEIVED,TOTAL_PASSES
"Lawson, A.J.","Bertans, Davis",3.0,DAL,1.0,4.0
"Lawson, A.J.","Bullock Jr., Reggie",8.0,DAL,1.0,9.0
"Lawson, A.J.","Doncic, Luka",2.0,DAL,5.0,7.0
"Lawson, A.J.","Green, Josh",2.0,DAL,3.0,5.0
"Lawson, A.J.","Hardy, Jaden",9.0,DAL,8.0,17.0
"Lawson, A.J.","Holiday, Justin",6.0,DAL,2.0,8.0
"Lawson, A.J.","McGee, JaVale",0.0,DAL,1.0,1.0
"Lawson, A.J.","Morris, Markieff",2.0,DAL,3.0,5.0
"Lawson, A.J.","Ntilikina, Frank",12.0,DAL,9.0,21.0
"Lawson, A.J.","Pinson, Theo",16.0,DAL,18.0,34.0
"Lawson, A.J.","Wood, Christian",0.0,DAL,3.0,3.0
"Lawson, A.J.","Wright IV, McKinley",33.0,DAL,37.0,70.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Lawson, A.J.","Nowell, Jaylen",1.0,MIN,0.0,1.0
"Lawson, A.J.","Reid, Naz",0.0,MIN,1.0,1.0
"Brooks, Aaron","Arthur, Darrell",105.0,DEN,136.0,241.0
"Brooks, Aaron","Brooks, Aaron",1.0,DEN,1.0,2.0
"Brooks, Aaron","Chandler, Wilson",52.0,DEN,55.0,107.0
"Brooks, Aaron","Faried, Kenneth",127.0,DEN,191.0,318.0
"Brooks, Aaron","Fournier, Evan",160.0,DEN,143.0,303.0
"Brooks, Aaron","Foye, Randy",167.0,DEN,102.0,269.0
"Brooks, Aaron","Hickson, JJ",85.0,DEN,101.0,186.0
"Brooks, Aaron","Lawson, Ty",76.0,DEN,80.0,156.0
"Brooks, Aaron","Miller, Quincy",68.0,DEN,65.0,133.0
"Brooks, Aaron","Mozgov, Timofey",108.0,DEN,233.0,341.0
"Brooks, Aaron","Randolph, Anthony",20.0,DEN,31.0,51.0
"Brooks, Aaron","Vesely, Jan",66.0,DEN,140.0,206.0
"Brooks, Aaron","Asik, Omer",31.0,HOU,68.0,99.0
"Brooks, Aaron","Beverley, Patrick",40.0,HOU,54.0,94.0
"Brooks, Aaron","Brewer, Ronnie",38.0,HOU,19.0,57.0
"Brooks, Aaron","Canaan, Isaiah",1.0,HOU,0.0,1.0
"Brooks, Aaron","Casspi, Omri",175.0,HOU,290.0,465.0
"Brooks, Aaron","Covington, Robert",5.0,HOU,2.0,7.0
"Brooks, Aaron","Garcia, Francisco",123.0,HOU,113.0,236.0
"Brooks, Aaron","Harden, James",145.0,HOU,130.0,275.0
"Brooks, Aaron","Howard, Dwight",107.0,HOU,142.0,249.0
"Brooks, Aaron","Jones, Terrence",71.0,HOU,103.0,174.0
"Brooks, Aaron","Lin, Jeremy",62.0,HOU,56.0,118.0
"Brooks, Aaron","Motiejunas, Donatas",54.0,HOU,72.0,126.0
"Brooks, Aaron","Parsons, Chandler",130.0,HOU,125.0,255.0
"Brooks, Aaron","Smith, Greg",5.0,HOU,33.0,38.0
"Gordon, Aaron","Barton, Will",48.0,DEN,44.0,92.0
"Gordon, Aaron","Campazzo, Facundo",99.0,DEN,105.0,204.0
"Gordon, Aaron","Dozier, PJ",21.0,DEN,25.0,46.0
"Gordon, Aaron","Green, JaMychal",2.0,DEN,4.0,6.0
"Gordon, Aaron","Harrison, Shaquille",8.0,DEN,9.0,17.0
"Gordon, Aaron","Howard, Markus",2.0,DEN,0.0,2.0
"Gordon, Aaron","Jokic, Nikola",203.0,DEN,273.0,476.0
"Gordon, Aaron","McGee, JaVale",3.0,DEN,5.0,8.0
"Gordon, Aaron","Millsap, Paul",5.0,DEN,12.0,17.0
"Gordon, Aaron","Morris, Monte",16.0,DEN,17.0,33.0
"Gordon, Aaron","Murray, Jamal",12.0,DEN,35.0,47.0
"Gordon, Aaron","Porter Jr., Michael",89.0,DEN,47.0,136.0
"Gordon, Aaron","Rivers, Austin",22.0,DEN,16.0,38.0
"Gordon, Aaron","Aminu, Al-Farouq",31.0,ORL,65.0,96.0
"Gordon, Aaron","Anthony, Cole",152.0,ORL,113.0,265.0
"Gordon, Aaron","Bacon, Dwayne",80.0,ORL,60.0,140.0
"Gordon, Aaron","Bamba, Mo",12.0,ORL,11.0,23.0
"Gordon, Aaron","Birch, Khem",74.0,ORL,117.0,191.0
"Gordon, Aaron","Bone, Jordan",22.0,ORL,26.0,48.0
"Gordon, Aaron","Carter-Williams, Michael",39.0,ORL,49.0,88.0
"Gordon, Aaron","Clark, Gary",54.0,ORL,135.0,189.0
"Gordon, Aaron","Ennis III, James",34.0,ORL,41.0,75.0
"Gordon, Aaron","Fournier, Evan",126.0,ORL,75.0,201.0
"Gordon, Aaron","Fultz, Markelle",106.0,ORL,75.0,181.0
"Gordon, Aaron","Okeke, Chuma",7.0,ORL,29.0,36.0
"Gordon, Aaron","Randle, Chasson",11.0,ORL,11.0,22.0
"Gordon, Aaron","Ross, Terrence",142.0,ORL,92.0,234.0
"Gordon, Aaron","Vucevic, Nikola",228.0,ORL,215.0,443.0
"Gray, Aaron","Acy, Quincy",14.0,SAC,5.0,19.0
"Gray, Aaron","Cousins, DeMarcus",0.0,SAC,1.0,1.0
"Gray, Aaron","Cunningham, Jared",2.0,SAC,0.0,2.0
"Gray, Aaron","Evans, Reggie",3.0,SAC,0.0,3.0
"Gray, Aaron","Fredette, Jimmer",47.0,SAC,27.0,74.0
"Gray, Aaron","Gay, Rudy",19.0,SAC,22.0,41.0
"Gray, Aaron","Landry, Carl",2.0,SAC,1.0,3.0
"Gray, Aaron","McCallum, Ray",47.0,SAC,23.0,70.0
"Gray, Aaron","McLemore, Ben",16.0,SAC,25.0,41.0
"Gray, Aaron","Outlaw, Travis",11.0,SAC,8.0,19.0
"Gray, Aaron","Thomas, Isaiah",166.0,SAC,76.0,242.0
"Gray, Aaron","Thompson, Jason",4.0,SAC,6.0,10.0
"Gray, Aaron","Thornton, Marcus",30.0,SAC,20.0,50.0
"Gray, Aaron","Williams, Derrick",24.0,SAC,15.0,39.0
"Gray, Aaron","Augustin, D.J.",8.0,TOR,1.0,9.0
"Gray, Aaron","Buycks, Dwight",2.0,TOR,2.0,4.0
"Gray, Aaron","DeRozan, DeMar",3.0,TOR,1.0,4.0
"Gray, Aaron","Fields, Landry",0.0,TOR,4.0,4.0
"Gray, Aaron","Gay, Rudy",2.0,TOR,1.0,3.0
"Gray, Aaron","Hansbrough, Tyler",1.0,TOR,0.0,1.0
"Gray, Aaron","Lowry, Kyle",5.0,TOR,0.0,5.0
"Gray, Aaron","Novak, Steve",1.0,TOR,0.0,1.0
"Gray, Aaron","Ross, Terrence",2.0,TOR,1.0,3.0
"Gray, Aaron","Augustin, D.J.",8.0,TOR,1.0,9.0
